,0
0,Medinova Diagnostic Services Ltd
1,R J Bio-Tech Ltd
2,Swadeshi Polytex Ltd
3,Sterling Guaranty & Finance Ltd
4,SBEC Systems (India) Ltd
5,Triveni Glass Ltd
6,Reliance Home Finance Ltd
7,Modern Steels Ltd
8,Krishna Filament Industries Ltd
9,TRF Ltd
10,Servoteach Industries Ltd
11,Yaari Digital Integrated Services Ltd
12,Basilic Fly Studio Ltd
13,Ksolves India Ltd
14,Varanium Cloud Ltd
15,Life Insurance Corporation of India
16,Nestle India Ltd
17,Gayatri Sugars Ltd
18,Abirami Financial Services (India) Ltd
19,Rajkamal Synthetics Ltd
20,Pressure Sensitive Systems (India) Ltd
21,IB Infotech Enterprises Ltd
22,Remedium Lifecare Ltd
23,Exhicon Events Media Solutions Ltd
24,Procter & Gamble Hygiene and Health Care Ltd
25,Adhbhut Infrastructure Ltd
26,IEL Ltd
27,Infronics Systems Ltd
28,Southern Magnesium & Chemicals Ltd
29,Tips Industries Ltd
30,Indifra Ltd
31,Nexus Surgical and Medicare Ltd
32,Quicktouch Technologies Ltd
33,Harshil Agrotech Ltd
34,Kore Digital Ltd
35,Waaree Renewables Technologies Ltd
36,Hazoor Multi Projects Ltd
37,Padam Cotton Yarns Ltd
38,Kalyani Cast-Tech Ltd
39,Techknowgreen Solutions Ltd
40,Newjaisa Technologies Ltd
41,Lloyds Metals & Energy Ltd
42,Net Avenue Technologies Ltd
43,Ovobel Foods Ltd
44,Vasa Denticity Ltd
45,Colgate-Palmolive (India) Ltd
46,E Factor Experiences Ltd
47,Dreamfolks Services Ltd
48,Inertia Steel Ltd
49,Sahana Systems Ltd
50,Suratwwala Business Group Ltd
51,Digikore Studios Ltd
52,Phantom Digital Effects Ltd
53,Krishca Strapping Solutions Ltd
54,Jyoti Resins and Adhesives Ltd
55,Kody Technolab Ltd
56,Siddha Ventures Ltd
57,Franklin Industries Ltd
58,Esab India Ltd
59,Dish TV India Ltd
60,Coal India Ltd
61,Remus Pharmaceuticals Ltd
62,Cellecor Gadgets Ltd
63,Advani Hotels & Resorts (India) Ltd
64,Amic Forging Ltd
65,Consolidated Finvest & Holdings Ltd
