,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,229.0,207.0,118.0,13.0,7.0,2.0,2.0,0.0,0.0,0,0,80.0,203
Expenses,265.0,256.0,160.0,30.0,30.0,22.0,1.0,220.0,57.0,7,1,79.0,183
Operating Profit,-36.0,-49.0,-42.0,-16.0,-23.0,-20.0,2.0,-219.0,-57.0,-7,-1,0.0,20
OPM %,-16.0,-24.0,-35.0,-120.0,-328.0,-1014.0,68.0,-66503.0,-26919.0,,,0.0,10
Other Income,6.0,134.0,-1.0,1.0,-4.0,24.0,40.0,9.0,0.0,-2,-55,24.0,8
Interest,33.0,66.0,48.0,25.0,5.0,4.0,-0.0,5.0,0.0,0,4,4.0,6
Depreciation,10.0,16.0,10.0,6.0,12.0,9.0,9.0,9.0,4.0,0,0,0.0,0
Profit before tax,-73.0,3.0,-101.0,-47.0,-44.0,-9.0,32.0,-224.0,-61.0,-8,-59,20.0,22
Tax %,13.0,358.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0.0,
Net Profit,-63.0,-7.0,-101.0,-46.0,-45.0,-9.0,32.0,-224.0,-61.0,-8,-59,20.0,22
EPS in Rs,-30.45,-3.96,-47.9,-22.1,-20.62,-4.41,15.12,-85.38,-23.14,-3.19,-22.62,4.7,5.12
