,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.2,1.69,0.95,0.51,0.46,1.36,1.29,1.23,0.33,0.02,3.19,0.82,0.67
Expenses,1.16,1.34,1.08,0.98,0.87,2.67,1.64,1.54,0.99,0.29,3.05,0.95,0.79
Operating Profit,0.04,0.35,-0.13,-0.47,-0.41,-1.31,-0.35,-0.31,-0.66,-0.27,0.14,-0.13,-0.12
OPM %,3.33,20.71,-13.68,-92.16,-89.13,-96.32,-27.13,-25.2,-200.0,-1350.0,4.39,-15.85,-17.91
Other Income,0.23,0.23,0.39,-0.29,0.17,0.1,0.22,0.16,2.17,0.07,2.37,0.05,0.07
Interest,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.5,0.5,0.5,0.31,0.07,0.08,0.11,0.1,0.1,0.1,0.06,0.04,0.02
Profit before tax,-0.23,0.08,-0.26,-1.07,-0.31,-1.29,-0.24,-0.25,1.41,-0.3,2.45,-0.12,-0.07
Tax %,-252.17,-87.5,30.77,29.91,54.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-0.8,0.15,-0.17,-0.76,-0.14,-1.28,-0.23,-0.25,1.41,-0.3,2.45,-0.12,-0.07
EPS in Rs,-0.52,0.1,-0.11,-0.5,-0.09,-0.84,-0.15,-0.16,0.92,-0.2,1.61,-0.08,-0.05
