,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7,23.0,23.0,28.0,26.0,32.0,45.0,63.0,63.0,63.0,104.0,133.0,146
Expenses,8,24.0,24.0,28.0,26.0,32.0,41.0,53.0,55.0,55.0,89.0,112.0,120
Operating Profit,-1,-1.0,-1.0,-0.0,0.0,0.0,5.0,9.0,8.0,8.0,15.0,21.0,26
OPM %,-20,-4.0,-5.0,-0.0,1.0,0.0,10.0,15.0,13.0,13.0,14.0,16.0,18
Other Income,2,-0.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1
Interest,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Depreciation,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2
Profit before tax,0,-2.0,-1.0,-0.0,2.0,2.0,5.0,9.0,8.0,8.0,13.0,19.0,23
Tax %,6,48.0,21.0,92.0,33.0,35.0,29.0,-23.0,31.0,30.0,32.0,3.0,
Net Profit,0,-1.0,-1.0,-0.0,1.0,2.0,3.0,11.0,6.0,5.0,9.0,18.0,22
EPS in Rs,,-0.35,-0.21,-0.0,0.38,0.45,1.0,3.25,1.68,1.58,2.66,5.29,6.27
