,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,8578.0,9098.0,12204.0,16240.0,15968.0,17173.0,22728.0,26561
Interest,6515.0,7126.0,8743.0,10228.0,8585.0,7465.0,10091.0,11981
Expenses,1432.0,1789.0,4702.0,9760.0,8733.0,12323.0,13338.0,16004
Financing Profit,631.0,184.0,-1241.0,-3748.0,-1350.0,-2615.0,-701.0,-1423
Financing Margin %,7.0,2.0,-10.0,-23.0,-8.0,-15.0,-3.0,-5
Other Income,1019.0,1120.0,824.0,1722.0,2211.0,3173.0,4467.0,5323
Depreciation,136.0,168.0,2820.0,320.0,343.0,382.0,435.0,0
Profit before tax,1514.0,1135.0,-3237.0,-2346.0,519.0,175.0,3331.0,3900
Tax %,30.0,16.0,41.0,-21.0,7.0,24.0,25.0,
Net Profit,1019.0,880.0,-1908.0,-2843.0,483.0,132.0,2485.0,2911
EPS in Rs,3.0,2.58,-3.99,-5.91,0.85,0.21,3.75,4.43
